text,sentiment
Listening music with my friend,neutral
 Thank you for sharing. I appreciate your honesty  I hadn`t tweeted for 30 some odd hours and got a little tweet happy.,positive
Yay Happy Mother`s Day  #fb,positive
Home from school. Out tonight? Probably not,neutral
Shower time,neutral
 Yeah I hate that too!!!! Sorry ur goin thru that,negative
 Flirting! Ima good man with bad habits.,neutral
" Presentation went well  Yes, I also met a buch of cool people. Checked your portfolio, nice work/details in the projects.",positive
 i like the positivity  And no. you may NOT change your carrer. crazyb dog lady just isn`t the same.... when`s your maths test? x,positive
"`Whats your stand on **** marriage?` - me. `what the **** natalie, stop asking me these **** **** questions! Go get a job!` - dad.",negative
 Haha!  I`m convinced you`d be great at it.,positive
" I know you won`t keep a wild dog, or else you won`t be able in the situation to use Mandriva in your life.",neutral
"Aww   i used to do that when i was little, not so much now ;) haa. Lazy shiit.",negative
watching the rain and reminiscing about the time when everytime it rained I was with the love of my life.,positive
"  i love you,i love you,i love you -you`re the most beautiful and sweet girl ever.",positive
castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that,neutral
 what a cute dog,positive
_Myst I am soooo disappointed that that is what he looks like btw! The image is gone,negative
"But anywho, I just got in and out of the pool within like 30 minutes because it`s about to start storming",positive
Today was sooo boring in school. I was sleeping all the time,negative
 flo can spell antidisestablishmentarianism off the top of her head. wait i just did,neutral
Still sick at home,negative
"so ready for dc tomorrow, photo trippin`",neutral
 I would think the pres would be afraid you`d Pun`k him,negative
chillaxing really  Yeah man hehe,positive
 I always forget SOMETHING when I travel. I am at Newark airport.,neutral
" http://twitpic.com/4v0vr - cool! you and your mother have awesome hair styles,! Wish her a happy mother`s day!",positive
 woOt!,neutral
off to the family party,neutral
 awww  thanks lol - ermm what happened to the studying !? ha ha,positive
Why the **** can`t I be over this ??? I feel like crying bit I realy don`t want to  why is this bothering me sooooooo much !?,negative
when do the stars come out??,neutral
Its 1:11am and both my girls are still up! .. im so tired ..,negative
 no I like be able to say it and it be the truth. Instead of some magical mystery tour I get led on.,positive
is now going to see his very ill uncle on saturday and spend the night at his house as even more bad news has come up,negative
 http://twitpic.com/4jk42 hey Gi! look at this pic of you and frankie that i took at the southend gig!,neutral
Once again I am looking for a new beard - it just fell out the window  Any bright green ones this time?,neutral
 thats because im getting a new phone since my other phone dont work at all,neutral
 Sounds good. 'This patch was brought to you by ...',positive
 - thanks for the reply. Of course it doesn`t really explain it  I googled it but found no explanation.,neutral
"Nearly fell asleep, but was jolted out of bed by a massive panic attack and now I`m not sure if I can sleep at all.",negative
 I love sausage too  #kitchenfire,positive
 You are extremely clever my dear.,positive
Actual wiki entry 'The Million Dollar Homepage' made me just shake my head due to the fact that ... sometimes...somtimes things just work,negative
"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in 'Unity'-mode.",positive
av ad a realy gd day wiv Ciara Connolly at  park gate west kirby and new brighton.. fukin funny bt sunburnt.. luks like drivers arm,positive
eating breakfast  getting ready to go to school ;(,negative
Oh ****!  I forgot to eat! Grumble grumble.,negative
 I`m absolutely jealous as hell of Brenda,negative
 Yay for full-term!!,positive
wants the tickets for the concert,neutral
 That`s not how we share links on Twitter  Yours is http://bit.ly/QljYb and you can view your stats at http://bit.ly/info/QljYb,neutral
- stillll listening to `paranoid`  now starting civics homework+ new JONAS episode !,neutral
good morning world,positive
 I couldn`t get used to the columns in tweetdeck.  There was only room for 4 or 5 columns on my macbook.,neutral
I always want to be perfect. ThatĂŻÂżÂ˝s so hard cause I even know that itĂŻÂżÂ˝s impossible. ...,negative
 ....nope.. its for the 1st time we invited her at SSM  and she very graceful accepted it !,positive
Had some lovely sugar puffs and just been playing with my amazing dog jack,positive
 aww  that`s horrible! xD,negative
"Gee I`m totally hatin` this , like for real ! I mean like, duh ! I`ve studied enough, and all that I need is refreshing tonite ! Hard ?",negative
 ahh! Yay!  so you`re gonna get it?,positive
"It`s Friday, but not the most pleasant ones  waaaaaay to much work...",negative
" well, I was under the impression most people have the urge to buy new sofas  To be fair, we`re not tiling, we have a man for that",neutral
